GEOID,population,station_complex_id,station_complex_name,orig_node,network_dist_m,network_dist_mi
360050283001,968,294.0,238 St (1),5130958280,920.5850856407556,0.5720264739835931
360050295001,1496,294.0,238 St (1),6853723848,944.1482064285732,0.5866679548315292
360050289001,1141,294.0,238 St (1),13039230846,964.6305927205246,0.5993951512548776
360050289002,1526,294.0,238 St (1),13039230843,977.965571718835,0.6076811436482253
360050335002,574,294.0,238 St (1),42733003,981.34913937689,0.6097836003435508
360050295003,1290,294.0,238 St (1),10132643489,1020.681241765622,0.6342234964430276
360050289003,1210,294.0,238 St (1),1581436712,1057.1658402492524,0.6568940312483704
360050277003,460,294.0,238 St (1),42740910,1095.01718454739,0.6804138246407782
360050277001,1172,294.0,238 St (1),13037033432,1104.95894432422,0.6865913631204221
360050297001,1662,294.0,238 St (1),1581474044,1135.6932814478862,0.7056888422880723
360050295004,541,294.0,238 St (1),10132643250,1211.0379405423764,0.7525059593015624
360050281001,1230,294.0,238 St (1),13087661082,1233.6557151933564,0.7665600278333705
360050351001,1292,294.0,238 St (1),1579701288,1241.0751036736758,0.7711702335576546
360050273002,2171,294.0,238 St (1),3965002602,1259.5173491950372,0.7826297421272306
360610309002,2270,294.0,238 St (1),10868090625,1284.0755993009038,0.7978895692028434
360610309004,2954,294.0,238 St (1),10868090698,1286.9652877774372,0.7996851428395723
360050281003,1269,294.0,238 St (1),5411018294,1305.454741337699,0.8111739851974717
360610309003,3463,294.0,238 St (1),2303340578,1309.3657043088133,0.813604150961769
360050273001,929,294.0,238 St (1),42731479,1323.8981024739967,0.8226341869797537
360050297002,1422,294.0,238 St (1),10132643323,1359.5318349725283,0.8447760168594134
360050307012,2874,294.0,238 St (1),2522559390,1363.8426591853226,0.8474546454977336
360050351002,1314,294.0,238 St (1),9533652795,1406.5891440488901,0.8740161457795682
360050273004,1803,294.0,238 St (1),13037124062,1444.8101450412373,0.8977656337636779
360050307013,862,294.0,238 St (1),13366237589,1465.0449651206209,0.9103389992920209
360050309004,915,294.0,238 St (1),2522383254,1475.919461087576,0.9170961146106952
360050297003,862,294.0,238 St (1),42748863,1490.2753348791566,0.9260164631955689
360610309005,2503,294.0,238 St (1),10868090747,1538.0376799230653,0.9556946822443146
360050267023,1377,294.0,238 St (1),13038491530,1547.4869262442173,0.961566186290167
360050351003,1113,294.0,238 St (1),42753684,1547.6073351026466,0.9616410050720461
360050307014,1571,294.0,238 St (1),42747591,1558.3339036584982,0.9683062023304574
360050277002,791,295.0,231 St (1),5487864524,161.76648294412598,0.10051728220520585
360050283001,968,295.0,231 St (1),5130958280,187.81848202662496,0.1167052841702965
360050289001,1141,295.0,231 St (1),13039230846,249.9702518719635,0.15532469948672345
360050287003,1120,295.0,231 St (1),12748328783,262.8994913488495,0.1633585764032768
360050289002,1526,295.0,231 St (1),13039230843,263.3052308702738,0.16361069188007124
360050277001,1172,295.0,231 St (1),13037033432,372.19234071008964,0.23127017330712568
360050289004,732,295.0,231 St (1),8499608055,409.53041664766954,0.254471035733698
360050277004,2080,295.0,231 St (1),8253912197,454.6200552194933,0.2824885078476228
360050287002,371,295.0,231 St (1),12748328769,457.21229589345813,0.2840992555292593
360050273002,2171,295.0,231 St (1),3965002602,526.7507455809069,0.32730855231393424
360050277003,460,295.0,231 St (1),42740910,532.2139918932571,0.3307032646260313
360610309003,3463,295.0,231 St (1),2303340578,576.5991006946829,0.3582829611484726
360050273001,929,295.0,231 St (1),42731479,591.1314988598659,0.36731299716645704
360610309002,2270,295.0,231 St (1),10868090625,613.3562393692573,0.3811228449981094
360050287001,1755,295.0,231 St (1),42739596,660.3863857919273,0.41034609578580494
360050273004,1803,295.0,231 St (1),13037124062,712.0435414271069,0.44244444395038146
360610309004,2954,295.0,231 St (1),10868090698,737.7895855842663,0.4584423338662224
