station_complex_id,station_complex_name,latitude,longitude,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi,od_jobs_exp_accessibility,log_od_jobs_exp_accessibility,destination_attractiveness_index,od_composite_exp_accessibility,log_od_composite_exp_accessibility
293,Van Cortlandt Park-242 St (1),40.889248,-73.898583,0.784137123,21362,411,16751,1.576416256,0.657416641,0.682475433,11,5950,371,473.1315344,9,34.69748033,75240.69993,8.004018594,31.06768668,46.46697476,1.402077171,0.452470331,8.521938679,0.453821658,8.004018594,73603,11,1,0,6419.320827,1.21578046,0,0,0.0,0.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,286709.30371364567,12.566227590233852,-3.7096087283316805,-19.845129359742835,4.354223034966691
294,238 St (1),40.884667,-73.90087,0.784137123,39234,322,30765,2.03586765,0.849022755,0.839954566,11,7932,445,567.5027838,18,30.75351287,67744.68848,7.269193866,25.80982593,51.88367678,1.374661128,0.399433648,6.980468864,1.241340237,7.269193866,67034,10,1,0,4683.159876,0.886962098,0,0,0.0,0.0,0,0,0,1,0,0,0,0,4,0,0,1,4,1,1,325071.2302469613,12.691802683532416,-2.228502877513759,-20.154803943125152,4.350235025115184
295,231 St (1),40.878856,-73.904834,0.784137123,55807,189,43760,2.04220241,0.851664555,0.841080178,11,7227,483,615.9636957,21,25.19786326,57556.26308,5.364990593,20.89376877,58.76908805,1.327900674,1.296016253,6.262351446,1.698429492,5.364990593,56674,11,1,1,2359.635421,0.446900648,0,0,0.0,0.0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0,380762.6481891268,12.849934115654372,-3.392291131185904,-15.584936230983324,4.407530407965841
296,Marble Hill-225 St (1),40.874561,-73.909831,0.784137123,49359,237,38704,2.241515982,0.934784771,0.87831444,11,7901,437,557.3004866,18,20.72429239,58538.87322,6.247171292,17.54074238,60.45416175,1.440453269,1.538086813,7.128068176,2.196470252,6.247171292,59890,12,1,1,318.0173062,0.06023055,0,0,0.0,0.0,0,0,0,0,1,1,0,1,6,1,1,1,6,0,1,425145.9565046681,12.960190168149406,-0.3801683894503911,-13.565271446726836,4.431842545755642
297,215 St (1),40.869444,-73.915279,0.784137123,37445,334,29362,2.047247853,0.853768668,0.832655118,11,5450,269,343.0522446,13,14.85305705,64709.13075,8.612342878,11.37642102,64.36091859,0.88969039,0.524486362,9.245967183,0.928685792,8.612342878,67005,8,2,1,2147.615832,0.406745423,0,0,0.0,0.0,0,0,0,0,0,1,0,8,15,1,8,1,10,0,1,485413.1263322213,13.092757674307332,0.08616917097701804,-8.411072014904729,4.491333923320812
298,207 St (1),40.864621,-73.918822,0.784137123,61989,137,48608,2.129959783,0.888262222,0.859116771,11,5928,404,515.2160105,18,12.570997,58736.173,8.199432495,8.866309781,64.82509476,1.006497212,0.200723601,11.6033321,1.287656524,8.199432495,59163,6,2,1,1798.606801,0.340645227,0,0,0.0,0.0,0,0,0,0,0,0,0,3,18,1,3,1,10,0,1,544431.1824021195,13.207498663372453,-1.4441792359453136,-2.5386392357437675,4.555063967350557
299,Dyckman St (1),40.860531,-73.925536,0.784137123,81310,55,63758,1.963544909,0.818861829,0.824003451,11,7086,401,511.390149,20,12.04372765,54367.96321,7.566359251,8.696062902,66.98761158,0.947776,0.198335481,11.31137378,0.879555788,7.566359251,54092,9,2,0,2818.739101,0.533852102,0,0,0.0,0.0,0,0,0,0,0,0,0,5,17,1,5,1,10,1,1,602331.2028871519,13.308564404126109,-0.8277094851587914,3.6873901332423564,4.618470034861106
300,191 St (1),40.855225,-73.929412,0.784137123,85922,45,67375,1.880147296,0.784082323,0.821490089,11,11343,406,517.7665848,19,10.50226452,60122.30724,8.237979625,7.308409685,69.31087324,0.58903197,0.435155617,10.36163152,0.550327346,8.237979625,59469,11,2,0,2742.079283,0.519333198,0,0,0.0,0.0,0,0,0,1,0,0,0,6,25,1,6,1,10,1,1,682117.0178620834,13.43295796857334,1.5974877792611617,8.547227254392034,4.665311920856451
301,181 St (1),40.849505,-73.933596,0.784137123,99526,19,78042,1.910275953,0.796646949,0.825184927,11,11230,798,1017.679149,18,13.06967698,60599.02217,7.187786101,8.904702318,67.80253465,0.419051894,0.54492438,9.924243048,1.012496169,7.187786101,67889,12,2,0,4244.984897,0.803974412,0,0,0.0,0.0,0,0,1,1,0,0,0,16,39,1,10,1,10,1,1,787211.3781076986,13.576253348818735,2.2299753979638366,16.48345022790015,4.737381332905052
605,"168 St-Washington Hts (1,A,C)",40.8406375,-73.939847,0.784137123,80830,57,63382,1.696153105,0.736629934,0.754011412,10,24457,472,601.935537,17,12.15688126,46982.55575,6.078537836,8.148960073,65.70887621,0.446274202,0.688475553,14.44562616,0.420972308,6.078537836,53861,8,3,0,2883.36319,0.546091513,0,0,0.0,0.0,0,0,0,0,1,1,0,6,18,1,6,1,10,1,1,970839.667144438,13.785917642299644,1.9024993822181429,30.798168356348686,4.85553697345018
303,157 St (1),40.834041,-73.94489,0.784137123,80026,61,62751,1.817454055,0.757937211,0.804285246,11,7309,498,635.093003,22,8.761427047,51621.17363,8.473278883,6.248841624,70.03595436,0.483104513,1.611181991,10.29765647,0.183561731,8.473278883,52986,9,5,0,3766.668425,0.713384171,0,0,0.0,0.0,0,0,1,1,0,0,0,14,31,1,10,1,10,1,1,1168314.6594768276,13.97107366225902,1.8125954619409448,42.94771227338051,4.945913223075778
304,145 St (1),40.826551,-73.95036,0.784137123,72591,84,56921,1.959170676,0.817037632,0.838628532,11,6490,364,464.2045243,21,7.152971953,62488.10764,11.34194027,5.138232379,73.10310066,0.637249784,1.645386777,5.441503232,0.547101128,11.34194027,61614,8,5,0,5680.763884,1.075902251,0,0,0.0,0.0,0,0,0,0,0,0,0,5,33,1,5,1,10,0,0,1430820.261986281,14.17375914646506,-0.627060965664182,60.06869058135307,5.060822380365759
305,137 St-City College (1),40.822008,-73.953676,0.784137123,64688,122,50724,2.011932214,0.839040902,0.830028066,11,9113,412,525.4183077,20,6.935388644,58391.75754,10.5301843,4.999829918,73.43271675,0.860548688,0.922012696,6.629999171,0.577878033,10.5301843,57003,10,4,0,6688.813485,1.266820736,0,0,0.0,0.0,0,0,1,1,0,0,0,5,28,1,5,1,10,0,0,1625658.5564816203,14.301424172310366,1.0474339610355687,69.35366257492723,5.118024596182364
