station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
43,Parkside Av (Q),0.784137123,60529,148,47463,1.539043466,0.641830977,0.68782272,11,5593,203,258.8832924,19,11.27288631,67815.76035,8.450806475,8.9621916,73.24498754,0.972543959,1.767576487,3.86658078,0.423252373,8.450806475,68737,8,3,0,9184.968052,1.739577283,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,1,10,1,1
44,"Church Av (B,Q)",0.784137123,62597,134,49085,1.770489444,0.738351447,0.76169065,11,8461,239,304.79363,22,12.42776627,62274.27356,6.374081413,10.78645874,72.81447676,0.858843776,1.984753666,5.050366083,0.462050711,6.374081413,64680,6,2,0,10945.42591,2.072997332,0,0,0,0,0,0,0,0,0,0,0,4,20,1,4,1,10,1,1
45,Beverley Rd (Q),0.784137123,65951,112,51715,1.77231946,0.739114623,0.765669003,11,6970,221,281.8384612,20,16.7942417,70376.94016,7.018445777,14.70961186,65.96846844,0.921421666,2.06553884,6.742846126,0.461903215,7.018445777,70588,10,2,0,13306.30388,2.520133311,0,0,0,0,0,0,0,0,0,0,0,8,18,1,8,1,10,0,0
46,Cortelyou Rd (Q),0.784137123,65223,116,51144,1.560650865,0.677782059,0.708052971,10,7436,213,271.6361639,14,17.72469474,70109.70603,8.260544029,15.42718375,63.60209937,0.838261821,2.398136389,6.548325179,0.627938472,8.260544029,70306,10,2,0,14323.77236,2.712835674,0,0,0,0,0,0,0,0,0,0,0,6,15,1,6,1,10,0,0
47,"Newkirk Plaza (B,Q)",0.784137123,56461,177,44273,1.380552933,0.575735291,0.625848511,11,8321,257,327.7487988,4,20.89199915,70480.51984,9.150297706,17.52317262,59.53081585,1.016376479,2.441792452,6.159279404,0.809438956,9.150297706,69922,8,2,0,16287.33512,3.08472256,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,7,0,0
48,Avenue H (Q),0.784137123,44249,283,34697,1.501574042,0.626205014,0.653411809,11,10010,250,318.8217887,0,27.01653978,66185.76855,7.768801649,22.64748708,53.91809014,0.964881535,1.198506902,7.522523098,1.544578131,7.768801649,67123,8,2,0,18278.19301,3.461778979,0,0,0,0,0,0,0,1,0,0,0,1,5,1,1,1,5,0,0
49,Avenue J (Q),0.784137123,41250,308,32346,1.495423836,0.623640179,0.632955236,11,12095,168,214.248242,0,32.97561145,63830.43755,6.44177053,26.53782646,47.66090328,0.684851835,0.806387256,9.554857393,1.760475725,6.44177053,65776,8,1,0,19747.52662,3.74006186,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,1,6,0,0
50,Avenue M (Q),0.784137123,45621,272,35773,1.572793303,0.655905752,0.656700771,11,20995,136,173.439053,0,36.63474184,61797.59035,6.787827565,28.07149427,43.2569356,0.38863592,0.849782168,11.20731926,0.78881959,6.787827565,64074,6,1,0,22356.35462,4.234158071,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,3,0,0
51,"Kings Hwy (B,Q)",0.784137123,47553,254,37288,1.541958966,0.66966427,0.67675998,10,19982,161,205.3212319,0,32.68879927,62061.70275,7.195164457,25.81392457,46.79445716,0.866226206,0.668660655,10.90811825,0.872614569,7.195164457,61751,9,2,0,25536.94201,4.836542047,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0
52,Avenue U (Q),0.784137123,45963,264,36041,1.425287836,0.594391195,0.60752497,11,8731,179,228.2764007,0,30.08244649,59278.95196,7.973004479,24.83616587,51.29109254,0.392567563,0.64285736,8.221422274,1.327852178,7.973004479,63780,6,1,0,28893.14992,5.472187484,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
53,Neck Rd (Q),0.784137123,46150,262,36188,1.563503433,0.652031576,0.674193692,11,11237,202,257.6080052,0,29.84154451,61116.57629,7.382716464,23.86959552,52.77097838,0.464467158,0.745941459,7.727824906,0.982314242,7.382716464,67171,4,1,0,30352.00151,5.748485134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
54,"Sheepshead Bay (B,Q)",0.784137123,38333,330,30058,1.832079811,0.764036625,0.780993914,11,29760,541,689.9303507,0,31.27858472,70474.41278,6.961426266,25.90088908,49.59147089,0.297030032,0.251360446,10.75890231,0.814858832,6.961426266,70436,5,2,0,33373.60629,6.320758768,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1
55,"Brighton Beach (B,Q)",0.784137123,46934,257,36803,1.879936956,0.783994605,0.814637917,11,17859,512,652.9470232,0,25.53800947,44756.24085,6.717395856,22.27117576,50.52486978,0,0.77735245,15.74439205,0.697980387,6.717395856,45605,5,2,0,36893.20725,6.987349859,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,6,1,1
56,Ocean Pkwy (Q),0.784137123,38294,331,30028,1.786199234,0.744902938,0.778086178,11,7506,351,447.6257913,0,23.73584017,42396.5865,5.965912232,21.16380885,54.3464408,0,0.691583625,14.73273185,0.527491314,5.965912232,41403,4,4,0,37612.60592,7.123599606,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,1,5,1,1
57,"W 8 St-NY Aquarium (F,Q)",0.784137123,25392,400,19911,1.846808428,0.770178935,0.788099058,11,4972,323,411.917751,0,27.4753107,49192.41558,4.082184317,24.34297382,56.53528172,0,0.381574174,10.85809611,0.66755298,4.082184317,47189,8,5,0,38042.5312,7.205024849,0,0,0,0,0,0,0,0,0,0,0,6,8,1,6,1,8,1,1
58,"Coney Island-Stillwell Av (D,F,N,Q)",0.784137123,19731,419,15472,2.148936637,0.896176185,0.857362533,11,4759,340,433.5976326,0,24.92846043,39787.17515,6.241538729,20.32661976,60.145508,0.090298485,0.604243425,6.67846182,1.31148911,6.241538729,44814,7,5,0,37908.74129,7.179685851,0,0,0,0,0,0,0,0,0,0,0,3,8,1,3,1,8,0,1
254,Jamaica-179 St (F),0.784137123,34462,354,27023,1.57758438,0.657903787,0.663496555,11,5114,307,391.5131565,0,29.8222192,69234.76929,5.633811596,26.56315463,57.01767545,0.561659056,0.239354925,6.127479912,0.597799858,5.633811596,67831,14,3,4,2610.693906,0.494449603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
255,169 St (F),0.784137123,44270,282,34714,1.877374708,0.782926064,0.799107603,11,12435,282,359.6309776,0,33.75682842,57579.41247,4.475884447,30.16366534,51.57899002,1.317216302,0.215864597,8.191514921,0.463701296,4.475884447,57107,32,3,0,4721.133136,0.894154003,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,5,0,1
256,Parsons Blvd (F),0.784137123,45780,268,35898,1.869029407,0.779445803,0.78911723,11,15500,275,350.7039675,0,30.14921376,58479.42427,5.417471954,27.04637673,53.34588348,1.202593148,0.240614586,8.850887532,0.793335537,5.417471954,60750,35,5,0,3237.808883,0.613221379,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,1,10,0,0
257,Sutphin Blvd (F),0.784137123,45034,277,35313,2.057990989,0.858248904,0.832538975,11,11455,365,465.4798115,0,26.47774375,63735.1098,6.36219968,23.79275219,57.06781861,0.678696285,0.428197513,7.854758385,1.130585782,6.36219968,66487,32,5,10,2215.883786,0.419674959,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,3,0,0
258,"Briarwood (E,F)",0.784137123,38613,325,30278,1.861889769,0.776468343,0.808317543,11,6203,435,554.7499123,0,29.40263257,76504.58978,7.500445149,27.53235664,54.76178686,0.683092335,0.9148798,6.043557986,0.672903988,7.500445149,75218,15,3,0,2864.616187,0.542540945,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0
259,"Kew Gardens-Union Tpke (E,F)",0.784137123,25985,397,20376,1.877202083,0.815258506,0.819988656,10,15478,614,783.026313,0,27.86820482,87916.45422,8.871143097,24.77551265,58.10613226,0.459531627,0.255083917,3.724989935,0.714914349,8.871143097,87112,13,3,8,1746.125483,0.330705584,0,0,0,0,0,0,1,1,0,0,0,3,3,1,3,1,3,1,1
260,"75 Av (E,F)",0.784137123,28816,388,22596,1.800229028,0.781829533,0.786102885,10,17586,588,749.8688469,0,26.15581441,98454.05153,8.128081373,21.37695555,60.16964821,0.582592138,0.464752095,3.894953494,0.604158284,8.128081373,95742,18,5,8,2125.184195,0.402497007,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,3,1,1
