station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership
36.0,2024,5784.270440251572,Bay Ridge Av (R),Brooklyn,40.634968,-74.02338,POINT (-74.02338 40.634968),8.663070387066053
37.0,2023,3988.0705128205127,77 St (R),Brooklyn,40.62974,-74.02551,POINT (-74.02551 40.62974),8.291313528565547
37.0,2024,4057.14465408805,77 St (R),Brooklyn,40.62974,-74.02551,POINT (-74.02551 40.62974),8.308481166396085
38.0,2023,8722.352564102564,86 St (R),Brooklyn,40.62269,-74.0284,POINT (-74.0284 40.62269),9.073758911374389
38.0,2024,8518.471698113208,86 St (R),Brooklyn,40.62269,-74.0284,POINT (-74.0284 40.62269),9.050109610637124
39.0,2023,4047.6666666666665,Bay Ridge-95 St (R),Brooklyn,40.616623,-74.030876,POINT (-74.030876 40.616623),8.306142887789411
39.0,2024,4111.899371069182,Bay Ridge-95 St (R),Brooklyn,40.616623,-74.030876,POINT (-74.030876 40.616623),8.321883501864795
41.0,2023,7465.474358974359,"7 Av (B,Q)",Brooklyn,40.67705,-73.97237,POINT (-73.97237 40.67705),8.918178193348838
41.0,2024,7427.194968553459,"7 Av (B,Q)",Brooklyn,40.67705,-73.97237,POINT (-73.97237 40.67705),8.913038169914001
42.0,2023,6838.551282051282,"Prospect Park (B,Q,S)",Brooklyn,40.661613,-73.96225,POINT (-73.96225 40.661613),8.830477406425402
42.0,2024,6875.2893081761,"Prospect Park (B,Q,S)",Brooklyn,40.661613,-73.96225,POINT (-73.96225 40.661613),8.835834440686849
43.0,2023,4182.141025641025,Parkside Av (Q),Brooklyn,40.655293,-73.961494,POINT (-73.961494 40.655293),8.33881768486888
43.0,2024,4745.176100628931,Parkside Av (Q),Brooklyn,40.655293,-73.961494,POINT (-73.961494 40.655293),8.465094541370318
44.0,2023,10816.910256410258,"Church Av (B,Q)",Brooklyn,40.650528,-73.96298,POINT (-73.96298 40.650528),9.288958396631594
44.0,2024,9335.327044025156,"Church Av (B,Q)",Brooklyn,40.650528,-73.96298,POINT (-73.96298 40.650528),9.141668203775415
45.0,2023,2587.6474358974356,Beverley Rd (Q),Brooklyn,40.64403,-73.96449,POINT (-73.96449 40.64403),7.858890792764117
45.0,2024,2917.1635220125786,Beverley Rd (Q),Brooklyn,40.64403,-73.96449,POINT (-73.96449 40.64403),7.978709766584767
46.0,2023,4177.307692307692,Cortelyou Rd (Q),Brooklyn,40.640926,-73.96389,POINT (-73.96389 40.640926),8.337661585241959
46.0,2024,4293.8490566037735,Cortelyou Rd (Q),Brooklyn,40.640926,-73.96389,POINT (-73.96389 40.640926),8.365171689820297
47.0,2023,7345.653846153846,"Newkirk Plaza (B,Q)",Brooklyn,40.635082,-73.96279,POINT (-73.96279 40.635082),8.902000229518341
47.0,2024,7171.352201257862,"Newkirk Plaza (B,Q)",Brooklyn,40.635082,-73.96279,POINT (-73.96279 40.635082),8.877988941335484
