station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
18 St (1),321.0,Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),5874.625665215288,8.678567829548898
181 St (1),301.0,Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),7394.815735365264,8.90866967810326
181 St (A),146.0,Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),6179.133950169327,8.729095225001522
"182-183 Sts (B,D)",214.0,Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2871.28537735849,7.962863290607221
183 St (4),383.0,Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),3475.4938316400585,8.153779545235775
190 St (A),145.0,Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),3165.123306724722,8.06026318684764
191 St (1),300.0,Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),5273.958454281566,8.570726082347672
2 Av (F),232.0,Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),11960.827467343977,9.389475814105063
20 Av (D),67.0,Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),3597.5467464925014,8.188285361413017
20 Av (N),75.0,Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),3157.792513304306,8.057945117513079
207 St (1),298.0,Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),4202.989296081277,8.343789185866406
21 St (G),282.0,Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),1319.0858471593765,7.185452049192485
21 St-Queensbridge (F),221.0,Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),5337.41370343493,8.582683828541544
215 St (1),297.0,Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),1625.4788340590228,7.394172732646455
"219 St (2,5)",420.0,Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),1536.9461175616839,7.338203115356747
"225 St (2,5)",419.0,Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),1906.389634736333,7.5534909028930395
23 St (1),320.0,Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),9883.771649733913,9.198750634653413
23 St (6),405.0,Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),19494.021407837445,9.87791439953548
"23 St (C,E)",165.0,Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),15445.033018867925,9.645107486823928
"23 St (F,M)",228.0,Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),19612.75580551524,9.883986425865343
"23 St (R,W)",14.0,Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),14091.696057087567,9.553411932017024
231 St (1),295.0,Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),6068.4366231253025,8.711021066422447
"233 St (2,5)",418.0,Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2606.342162554427,7.866086652944771
238 St (1),294.0,Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),3132.3815312046445,8.049868061771035
25 Av (D),69.0,Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),3088.780720851475,8.035855403247982
25 St (R),31.0,Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2667.4418238993712,7.889249994486839
28 St (1),319.0,Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),9979.296927914853,9.208368121158996
28 St (6),404.0,Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),15169.644412191581,9.627117550820156
"28 St (R,W)",13.0,Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),8778.589683115626,9.080184952406796
3 Av (L),118.0,Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),4807.916182873731,8.478227011904256
3 Av-138 St (6),377.0,Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),5542.413582486695,8.620365760110415
"3 Av-149 St (2,5)",434.0,Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),11628.1887397194,9.361273487251577
"30 Av (N,W)",3.0,Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),10034.600024189647,9.213894052585864
33 St (6),403.0,Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),19920.539550072568,9.89955681480236
33 St-Rawson St (7),460.0,Queens,40.744587,-73.931,POINT (-73.931 40.744587),6482.170174165458,8.776964894123326
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",607.0,Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),77124.20379777456,11.253185403638875
34 St-Hudson Yards (7),471.0,Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),19714.353713110788,9.889152987470125
"34 St-Penn Station (1,2,3)",318.0,Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),52349.35915578132,10.865714076939549
"34 St-Penn Station (A,C,E)",164.0,Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),57809.255865989355,10.964921476048207
"36 Av (N,W)",5.0,Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),4828.133103531689,8.482422248867397
"36 St (D,N,R)",32.0,Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),11194.843492985003,9.323297871704574
