station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"14 St (A,C,E)/8 Av (L)",618.0,Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),2024,35802.622641509435,10.485804358372933
"14 St (F,M,1,2,3)/6 Av (L)",601.0,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2023,36498.192307692305,10.505045410769368
"14 St (F,M,1,2,3)/6 Av (L)",601.0,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2024,32327.849056603773,10.383715270228189
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602.0,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2023,67794.90384615384,11.124257056854944
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602.0,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2024,70842.56603773584,11.168229429954122
145 St (1),304.0,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2023,6516.442307692308,8.782237293860891
145 St (1),304.0,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2024,6304.11320754717,8.749116203439598
145 St (3),437.0,Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2023,2014.8782051282053,7.608810213243339
145 St (3),437.0,Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2024,1993.3333333333335,7.598065104721922
"145 St (A,C,B,D)",151.0,Manhattan,40.824783,-73.944214,POINT (-73.944214 40.824783),2023,15322.833333333334,9.637164629575889
"145 St (A,C,B,D)",151.0,Manhattan,40.824783,-73.944214,POINT (-73.944214 40.824783),2024,15979.503144654087,9.679124704722849
"149 St-Grand Concourse (2,4,5)",603.0,Bronx,40.818375,-73.92735,POINT (-73.92735 40.818375),2023,7052.878205128205,8.86133284457495
"149 St-Grand Concourse (2,4,5)",603.0,Bronx,40.818375,-73.92735,POINT (-73.92735 40.818375),2024,6907.452830188679,8.840500988679926
"15 St-Prospect Park (F,G)",241.0,Brooklyn,40.660366,-73.97949,POINT (-73.97949 40.660366),2023,4475.224358974358,8.40653519305817
"15 St-Prospect Park (F,G)",241.0,Brooklyn,40.660366,-73.97949,POINT (-73.97949 40.660366),2024,4471.773584905661,8.40576398397725
"155 St (B,D)",220.0,Manhattan,40.830135,-73.93821,POINT (-73.93821 40.830135),2023,1948.3782051282053,7.575265731543188
"155 St (B,D)",220.0,Manhattan,40.830135,-73.93821,POINT (-73.93821 40.830135),2024,1820.8301886792453,7.507596872971113
155 St (C),150.0,Manhattan,40.830517,-73.94151,POINT (-73.94151 40.830517),2023,1671.679487179487,7.422182102943603
155 St (C),150.0,Manhattan,40.830517,-73.94151,POINT (-73.94151 40.830517),2024,1723.566037735849,7.45273072548879
157 St (1),303.0,Manhattan,40.83404,-73.94489,POINT (-73.94489 40.83404),2023,7203.878205128205,8.882513604075367
157 St (1),303.0,Manhattan,40.83404,-73.94489,POINT (-73.94489 40.83404),2024,6949.805031446541,8.846612763713658
"161 St-Yankee Stadium (B,D,4)",604.0,Bronx,40.827904,-73.92565,POINT (-73.92565 40.827904),2023,16554.884615384617,9.714496883490908
"161 St-Yankee Stadium (B,D,4)",604.0,Bronx,40.827904,-73.92565,POINT (-73.92565 40.827904),2024,18454.4213836478,9.823113448237718
163 St-Amsterdam Av (C),149.0,Manhattan,40.836014,-73.939896,POINT (-73.939896 40.836014),2023,2615.3076923076924,7.869519325044147
163 St-Amsterdam Av (C),149.0,Manhattan,40.836014,-73.939896,POINT (-73.939896 40.836014),2024,2744.666666666667,7.917779190273139
167 St (4),388.0,Bronx,40.835537,-73.9214,POINT (-73.9214 40.835537),2023,5852.4807692307695,8.674791766568942
167 St (4),388.0,Bronx,40.835537,-73.9214,POINT (-73.9214 40.835537),2024,5359.641509433963,8.586838931499106
"167 St (B,D)",218.0,Bronx,40.83377,-73.91844,POINT (-73.91844 40.83377),2023,5049.4807692307695,8.527238719565874
"167 St (B,D)",218.0,Bronx,40.83377,-73.91844,POINT (-73.91844 40.83377),2024,4748.874213836478,8.465873415380468
"168 St (A,C,1)",605.0,Manhattan,40.840717,-73.93956,POINT (-73.93956 40.840717),2023,17055.02564102564,9.744258830307876
"168 St (A,C,1)",605.0,Manhattan,40.840717,-73.93956,POINT (-73.93956 40.840717),2024,17613.962264150945,9.776503948516497
169 St (F),255.0,Queens,40.71047,-73.7936,POINT (-73.7936 40.71047),2023,5424.487179487179,8.598862977047089
169 St (F),255.0,Queens,40.71047,-73.7936,POINT (-73.7936 40.71047),2024,5666.773584905661,8.642551653806924
170 St (4),387.0,Bronx,40.840076,-73.91779,POINT (-73.91779 40.840076),2023,4568.974358974358,8.427262873144798
170 St (4),387.0,Bronx,40.840076,-73.91779,POINT (-73.91779 40.840076),2024,4423.88679245283,8.394999973488284
