station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
6.0,2023,2659.192307692308,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),7.886153695287433,"39 Av-Dutch Kills (N,W)",0.784137123,19457,420,15257,1.897103644,0.791153669,0.77668471,11,35332,306,390.2378693,17,11.5539479,92812.66952,11.39414615,9.63049655,66.20851008,0.567367098,1.911775938,7.080285015,0.82252166,11.39414615,95032,10,9,0,5452.881052,1.032742623,0,0,0.0,0.0,0,0,0,0,0,1,0,1,7,1,1,1,7,0,0
6.0,2024,2791.3836477987425,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),7.934650864112456,"39 Av-Dutch Kills (N,W)",0.784137123,19457,420,15257,1.897103644,0.791153669,0.77668471,11,35332,306,390.2378693,17,11.5539479,92812.66952,11.39414615,9.63049655,66.20851008,0.567367098,1.911775938,7.080285015,0.82252166,11.39414615,95032,10,9,0,5452.881052,1.032742623,0,0,0.0,0.0,0,0,0,0,0,1,0,1,7,1,1,1,7,0,0
8.0,2023,10965.826923076924,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),9.302630261025111,"5 Av/59 St (N,R,W)",0.784137123,28081,390,22019,1.428221937,0.650011816,0.688323159,9,245341,324,413.1930381,28,6.079978545,164846.3829,13.13184697,4.676416762,36.39551001,6.019267296,1.664038427,36.11557393,0.593784822,13.13184697,159186,80,14,0,3563.621762,0.674928364,0,0,0.0,0.0,0,0,0,0,0,0,0,11,73,1,10,1,10,1,1
8.0,2024,11764.396226415094,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),9.37291797899768,"5 Av/59 St (N,R,W)",0.784137123,28081,390,22019,1.428221937,0.650011816,0.688323159,9,245341,324,413.1930381,28,6.079978545,164846.3829,13.13184697,4.676416762,36.39551001,6.019267296,1.664038427,36.11557393,0.593784822,13.13184697,159186,80,14,0,3563.621762,0.674928364,0,0,0.0,0.0,0,0,0,0,0,0,0,11,73,1,10,1,10,1,1
9.0,2023,24746.596153846152,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),10.116483638182764,"57 St-7 Av (N,Q,R,W)",0.784137123,49754,227,39014,1.373530553,0.59651674,0.667300365,10,291325,272,346.8781061,32,4.32605379,116716.211,13.32628569,3.555790562,39.47405751,4.266240674,2.344945632,34.70633658,1.55608013,13.32628569,128599,68,14,0,3749.973534,0.71022226,0,0,0.0,0.0,0,0,1,1,0,0,0,29,100,1,10,1,10,1,1
9.0,2024,26291.98113207547,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),10.177057305440426,"57 St-7 Av (N,Q,R,W)",0.784137123,49754,227,39014,1.373530553,0.59651674,0.667300365,10,291325,272,346.8781061,32,4.32605379,116716.211,13.32628569,3.555790562,39.47405751,4.266240674,2.344945632,34.70633658,1.55608013,13.32628569,128599,68,14,0,3749.973534,0.71022226,0,0,0.0,0.0,0,0,1,1,0,0,0,29,100,1,10,1,10,1,1
10.0,2023,17148.44230769231,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),9.749720933563442,"49 St (N,R,W)",0.784137123,44536,280,34922,1.361190303,0.567660447,0.622773353,11,450483,166,211.6976677,34,4.044464347,112867.4752,13.6346621,3.242261211,39.70338536,2.126391361,2.8306817,36.04567308,1.614742053,13.6346621,106732,70,18,0,2961.260511,0.560844794,0,0,0.0,0.0,0,0,1,1,0,0,0,34,163,1,10,1,10,0,0
10.0,2024,19973.98113207547,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),9.902235826057082,"49 St (N,R,W)",0.784137123,44536,280,34922,1.361190303,0.567660447,0.622773353,11,450483,166,211.6976677,34,4.044464347,112867.4752,13.6346621,3.242261211,39.70338536,2.126391361,2.8306817,36.04567308,1.614742053,13.6346621,106732,70,18,0,2961.260511,0.560844794,0,0,0.0,0.0,0,0,1,1,0,0,0,34,163,1,10,1,10,0,0
13.0,2023,8385.173076923076,"28 St (R,W)",Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),9.034339566311324,"28 St (R,W)",0.784137123,60822,146,47693,1.54033159,0.642368166,0.690279864,11,393380,236,300.9677685,37,4.503590844,128678.7026,12.77678509,3.37697042,43.90172661,2.183330126,2.884693542,32.99726263,0.709379392,12.77678509,152191,63,18,11,2298.505387,0.43532299,0,0,0.0,0.0,0,0,1,1,0,0,0,50,147,1,10,1,10,0,0
13.0,2024,9172.006289308176,"28 St (R,W)",Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),9.124020351142056,"28 St (R,W)",0.784137123,60822,146,47693,1.54033159,0.642368166,0.690279864,11,393380,236,300.9677685,37,4.503590844,128678.7026,12.77678509,3.37697042,43.90172661,2.183330126,2.884693542,32.99726263,0.709379392,12.77678509,152191,63,18,11,2298.505387,0.43532299,0,0,0.0,0.0,0,0,1,1,0,0,0,50,147,1,10,1,10,0,0
